,0
492,Indie
19,Action
21,Adventure
597,Casual
122,RPG
599,Simulation
9,Strategy
4182,Singleplayer
493,Early Access
113,Free to Play
3871,2D
4191,3D
4166,Atmospheric
1684,Fantasy
4305,Colorful
1742,Story Rich
3859,Multiplayer
1664,Puzzle
3834,Exploration
3964,Pixel Graphics
4726,Cute
128,Massively Multiplayer
701,Sports
3993,Combat
3839,First-Person
4667,Violent
4106,Action-Adventure
4136,Funny
1773,Arcade
4085,Anime
699,Racing
3942,Sci-fi
12095,Sexual Content
1654,Relaxing
6650,Nudity
1774,Shooter
1667,Horror
7481,Controller
5350,Family Friendly
1697,Third Person
4004,Retro
4252,Stylized
4345,Gore
7208,Female Protagonist
1695,Open World
1685,Co-op
1662,Survival
1625,Platformer
1775,PvP
4791,Top-Down
6426,Choices Matter
6730,PvE
4175,Realistic
1719,Comedy
4342,Dark
3799,Visual Novel
4747,Character Customization
4195,Cartoony
7250,Linear
5716,Mystery
3968,Physics
6971,Multiple Endings
5379,2D Platformer
3843,Online Co-Op
1663,FPS
3916,Old School
1721,Psychological Horror
4057,Magic
4026,Difficult
3810,Sandbox
1708,Tactical
4172,Medieval
4231,Action RPG
21978,VR
4094,Minimalist
4295,Futuristic
1643,Building
6815,Hand-drawn
1755,Space
1756,Great Soundtrack
1716,Roguelike
1702,Crafting
1698,Point & Click
12472,Management
5984,Drama
3959,Roguelite
4562,Cartoon
4255,Shoot 'Em Up
4604,Dark Fantasy
7368,Local Multiplayer
5125,Procedural Generation
5395,3D Platformer
8945,Resource Management
6129,Logic
3798,Side Scroller
4486,Choose Your Own Adventure
3978,Survival Horror
84,Design & Illustration
4947,Romance
5611,Mature
5608,Emotional
9204,Immersive Sim
1036,Education
4325,Turn-Based Combat
5537,Puzzle Platformer
1646,Hack and Slash
30358,Nature
1741,Turn-Based Strategy
42804,Action Roguelike
11014,Interactive Fiction
9130,Hentai
87,Utilities
14139,Turn-Based Tactics
7332,Base Building
7743,1980s
3835,Post-apocalyptic
1678,War
1659,Zombies
9551,Dating Sim
17389,Tabletop
1738,Hidden Object
6691,1990's
4885,Bullet Hell
1710,Surreal
4434,JRPG
1720,Dungeon Crawler
3841,Local Co-Op
1687,Stealth
5900,Walking Simulator
5154,Score Attack
3987,Historical
5094,Narration
10695,Party-Based RPG
24904,NSFW
4145,Cinematic
4711,Replay Value
15172,Conversation
1677,Turn-Based
31275,Text-Based
3814,Third-Person Shooter
4168,Military
44868,LGBTQ+
4975,2.5D
4637,Top-Down Shooter
8369,Investigation
1673,Aliens
5851,Isometric
5752,Robots
4115,Cyberpunk
6869,Nonlinear
3854,Lore-Rich
5711,Team-Based
5923,Dark Humor
6276,Inventory Management
10235,Life Sim
1666,Card Game
9541,Demons
12057,Tutorial
10397,Memes
1038,Web Publishing
17305,Strategy RPG
379975,Clicker
5186,Psychological
4064,Thriller
7926,Artificial Intelligence
1676,RTS
3813,Real Time Tactics
4400,Abstract
4695,Economy
10808,Supernatural
5547,Arena Shooter
5613,Detective
1759,Perma Death
1644,Driving
5673,Modern
1770,Board Game
3877,Precision Platformer
5030,Dystopian
16689,Time Management
4236,Loot
1645,Tower Defense
1714,Psychedelic
8013,Software
1734,Fast-Paced
872,Animation & Modeling
21725,Tactical RPG
4234,Short
29482,Souls-like
4328,City Builder
4840,4 Player Local
1751,Comic Book
15045,Flight
4598,Alternate History
4684,Wargame
4158,Beat 'em up
5652,Collectathon
1628,Metroidvania
7948,Soundtrack
5363,Destruction
1621,Music
16094,Mythology
13906,Game Development
32322,Deckbuilding
1669,Moddable
5577,RPGMaker
1693,Classic
8122,Level Editor
8666,Runner
615955,Idler
4036,Parkour
7569,Grid-Based Movement
6378,Crime
4474,CRPG
4736,2D Fighter
1743,Fighting
4155,Class-Based
4700,Movie
791774,Card Battler
13782,Experimental
1754,MMORPG
19995,Dark Comedy
784,Video Production
5411,Beautiful
15277,Philosophical
3878,Competitive
5765,Gun Customization
17894,Cats
1100687,Automobile Sim
1027,Audio Production
5794,Science
4758,Twin Stick Shooter
1752,Rhythm
4845,Capitalism
4508,Co-op Campaign
4608,Swordplay
11104,Vehicular Combat
4150,World War II
916648,Creature Collector
6506,3D Fighter
7432,Lovecraftian
255534,Automation
4046,Dragons
4364,Grand Strategy
176981,Battle Royale
16598,Space Sim
13190,America
5372,Conspiracy
5055,eSports
10816,Split Screen
29363,3D Vision
4835,6DOF
6052,Noir
87918,Farming Sim
1665,Match 3
4202,Trading
4878,Parody
220585,Colony Sim
4559,Quick-Time Events
198631,Mystery Dungeon
5796,Bullet Time
1651,Satire
1445,Software Training
3920,Cooking
9592,Dynamic Narration
620519,Hero Shooter
5228,Blood
1100689,Open World Survival Craft
353880,Looter Shooter
3952,Gothic
22602,Agriculture
6625,Time Manipulation
4102,Combat Racing
24003,Word Game
21006,Underground
6915,Martial Arts
4777,Spectacle fighter
1732,Voxel
3955,Character Action Game
5981,Mining
1777,Steampunk
4853,Political
4821,Mechs
10679,Time Travel
1084988,Auto Battler
1681,Pirates
1638,Dog
9564,Hunting
31579,Otome
7478,Illuminati
13070,Solitaire
4190,Addictive
3934,Immersive
5300,God Game
17770,Asynchronous Multiplayer
4018,Vampire
1723,Action RTS
1688,Ninja
18594,FMV
13276,Tanks
15564,Fishing
1718,MOBA
9271,Trading Card Game
1717,Hex Grid
7702,Narrative
5502,Hacking
97376,Cozy
5708,Remake
4754,Politics
4376,Assassin
809,Photo Editing
9157,Underwater
180368,Faith
11123,Mouse only
1670,4X
1671,Superhero
5160,Dinosaurs
5179,Cold War
4161,Real-Time
10383,Transportation
1730,Sokoban
552282,Wholesome
5432,Programming
4242,Episodic
26921,Political Sim
7178,Party Game
1680,Heist
1647,Western
7782,Cult Classic
7108,Party
3965,Epic
6310,Diplomacy
13382,Archery
1616,Trains
1091588,Roguelike Deckbuilder
6910,Naval
16250,Gambling
8093,Minigames
51306,Foreign
9803,Snow
4994,Naval Combat
1674,Typing
4137,Transhumanism
769306,Escape Room
7107,Real-Time with Pause
454187,Traditional Roguelike
13577,Sailing
11333,Villain Protagonist
7423,Sniper
6041,Horses
14153,Dungeons & Dragons
10437,Trivia
56690,On-Rails Shooter
7622,Offroad
25085,Touch-Friendly
8253,Music-Based Procedural Generation
5390,Time Attack
14720,Nostalgia
17015,Werewolves
5230,Sequel
6702,Mars
5348,Mod
5153,Kickstarter
1254546,Football (Soccer)
4520,Farming
5382,World War I
1023537,Boomer Shooter
776177,360 Video
9994,Experience
1649,GameMaker
12190,Boxing
92092,Jet
150626,Gaming
5310,Games Workshop
4291,Spaceships
1100686,Outbreak Sim
4184,Chess
71389,Spelling
198913,Motorbike
1733,Unforgiving
7918,Dwarf
1736,LEGO
123332,Bikes
922563,Roguevania
7038,Golf
15339,Documentary
1100688,Medical Sim
856791,Asymmetric VR
6948,Rome
19780,Submarine
15954,Silent Protagonist
61357,Electronic Music
1746,Basketball
745697,Social Deduction
29855,Ambient
7113,Crowdfunded
6621,Pinball
189941,Instrumental Music
1254552,Football (American)
1753,Skateboarding
22955,Mini Golf
42089,Jump Scare
47827,Wrestling
12286,Warhammer 40K
8075,TrackIR
337964,Rock Music
17927,Pool
19568,Cycling
11634,Vikings
5727,Baseball
3796,Based On A Novel
96359,Skating
5914,Tennis
35079,Job Simulator
14906,Intentionally Awkward Controls
11095,Boss Rush
15868,Motocross
17337,Lemmings
176733,Tile-Matching
117648,8-bit Music
8461,Well-Written
7328,Bowling
324176,Hockey
1199779,Extraction Shooter
603297,Hardware
129761,ATV
28444,Snowboarding
252854,BMX
7309,Skiing
348922,Steam Machine
5407,Benchmark
33572,Mahjong
143739,Electronic
102530,Elf
27758,Voice Control
6214,Birds
323922,Musou
91114,Shop Keeper
30927,Fox
233824,Feature Film
42329,Coding
49213,Rugby
1220528,Hobby Sim
158638,Cricket
847164,Volleyball
5941,Reboot
363767,Snooker
